"";"nomor_urut";"jenis_kelamin";"umur";"fakultas";"prodi";"tingkat_semester";"uang_saku";"kepemilikan_mobil";"kepemilikan_motor";"kepemilikan_sepeda";"kendaraan_utama";"jenis_tempat_tinggal";"jarak";"jumlah_perjalanan_selasa";"jumlah_perjalanan_rabu";"jumlah_perjalanan_kamis";"jumlah_perjalanan_jumat";"jumlah_perjalanan_sabtu";"jumlah_perjalanan_ahad"
"1";1;"Laki-laki";22;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";19,27;3;0;0;0;0;0
"2";2;"Laki-laki";25;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;4;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,58;3;0;3;0;0;0
"3";3;"Perempuan";24;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,56;0;3;0;0;0;0
"4";4;"Laki-laki";19;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"1 (Semester 1 - Semester 2)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,05;2;0;2;2;0;2
"5";5;"Laki-laki";23;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,69;4;0;0;3;2;0
"6";6;"Laki-laki";21;"Adab";"Ilmu Perpustakaan dan Informasi Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";7,91;2;2;0;2;2;2
"7";7;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,58;0;3;0;2;2;2
"8";8;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;4;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,32;4;4;4;4;2;2
"9";9;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;4;1;"Sepeda Motor Pribadi";"Kos Sendiri";0,77;0;3;0;0;2;2
"10";10;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";6,56;2;2;2;0;0;0
