kampus,jarak_km,jenis_tinggal,tipe_tinggal_baku
UINRIL,19.27,Rumah Bersama Saudara,Rumah Keluarga/Pribadi
UINRIL,0.58,Kos Sendiri,Kos/Asrama
UINRIL,0.56,Kos Sendiri,Kos/Asrama
UINRIL,1.05,Kos Sendiri,Kos/Asrama
UINRIL,1.69,Rumah Mengontrak Bersama-sama,Rumah Keluarga/Pribadi
UINRIL,7.91,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,2.58,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,2.32,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,0.77,Kos Sendiri,Kos/Asrama
UINRIL,6.56,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,0.63,Kos Bersama-sama,Kos/Asrama
UINRIL,0.53,Kos Sendiri,Kos/Asrama
UINRIL,0.91,Rumah Mengontrak Pribadi,Rumah Keluarga/Pribadi
UINRIL,2.52,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,1.31,Kos Bersama-sama,Kos/Asrama
UINRIL,0.83,Kos Sendiri,Kos/Asrama
UINRIL,0.95,Rumah Mengontrak Bersama-sama,Rumah Keluarga/Pribadi
UINRIL,7.67,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,4.34,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,4.46,Rumah Bersama Saudara,Rumah Keluarga/Pribadi
UINRIL,0.71,Kos Bersama-sama,Kos/Asrama
UINRIL,0.92,Kos Bersama-sama,Kos/Asrama
UINRIL,1.37,Kos Sendiri,Kos/Asrama
UINRIL,0.56,Kos Sendiri,Kos/Asrama
UINRIL,3.02,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,8.56,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,8.49,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,4.77,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,0.34,Kos Sendiri,Kos/Asrama
UINRIL,2.4,Rumah Mengontrak Bersama-sama,Rumah Keluarga/Pribadi
UINRIL,4.3,Rumah Bersama Saudara,Rumah Keluarga/Pribadi
UINRIL,0.27,Kos Sendiri,Kos/Asrama
UINRIL,2.45,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,26.14,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,1.27,Kos Sendiri,Kos/Asrama
UINRIL,9.09,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,1.39,Rumah Mengontrak Bersama-sama,Rumah Keluarga/Pribadi
UINRIL,0.63,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,4.56,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,2.06,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,5.07,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,6.01,Kos Sendiri,Kos/Asrama
UINRIL,7.83,Rumah Bersama Saudara,Rumah Keluarga/Pribadi
UINRIL,7.87,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,1.05,Rumah Mengontrak Bersama-sama,Rumah Keluarga/Pribadi
UINRIL,10.66,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,1.15,Kos Sendiri,Kos/Asrama
UINRIL,1.51,Kos Bersama-sama,Kos/Asrama
UINRIL,6.18,Rumah Bersama Saudara,Rumah Keluarga/Pribadi
UINRIL,0.97,Kos Sendiri,Kos/Asrama
UINRIL,4.26,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,0.91,Kos Sendiri,Kos/Asrama
UINRIL,7.09,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,0.51,Kos Sendiri,Kos/Asrama
UINRIL,3.38,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,2.09,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,1.5,Kos Sendiri,Kos/Asrama
UINRIL,1.46,Rumah Pribadi/Rumah Keluarga,Rumah Keluarga/Pribadi
UINRIL,0.44,Kos Bersama-sama,Kos/Asrama
UINRIL,1.25,Kos Sendiri,Kos/Asrama
UINRIL,1.25,Kos Sendiri,Kos/Asrama
UINRIL,5.3,Kos Bersama-sama,Kos/Asrama
UINRIL,1.27,Kos Sendiri,Kos/Asrama
UINRIL,1.15,Kos Sendiri,Kos/Asrama
