"Original","Converted","Is_Converted"
"25 ribu",25,TRUE
"200",200,TRUE
"50rb menggunakan kendaraan pribadi",50,TRUE
"Sminggu 20 rb",20,TRUE
"20 JUTA RUPIAH",NA,FALSE
"40 rb",40,TRUE
"70 rb",70,TRUE
"35 rb",35,TRUE
"50 rb bensin",50,TRUE
"350rb",350,TRUE
"Biaya bensin dalam seminggu 50",50,TRUE
"50 rb",50,TRUE
"30 rb",30,TRUE
"30 rb",30,TRUE
"35 ribu",35,TRUE
"50rb",50,TRUE
"Seminggu 200 rb ",200,TRUE
"40 rb seminggu",40,TRUE
"100rb ",100,TRUE
"Biaya dalam seminggu 600 rb",600,TRUE
"50 rb",50,TRUE
"motor menumpang dengan teman",0,TRUE
"50rb ",50,TRUE
"5rb",5,TRUE
"50.000 rb perminggu ",50,TRUE
"50k",50,TRUE
"menggunakan sepeda motor bensin 30rb sekitar seminggu",30,TRUE
"50",50,TRUE
"19 menit",19,TRUE
"jika di akumulasikan untuk bensin mobil saja bisa 500ribu seminggu, untuk makan 50ribu 1hari, jika 7hari maka 350ribu jadi total seminggu 850ribu",500,TRUE
"50 rb",50,TRUE
"70rb",70,TRUE
"300rb",300,TRUE
"100 rb",100,TRUE
"400 rb",400,TRUE
"150 rb",150,TRUE
"100rb",100,TRUE
"150",150,TRUE
"Seminggu saya habis 105 RB lah ",105,TRUE
"300 rb",300,TRUE
"400 rb",400,TRUE
"35 rb",35,TRUE
"50 rb",50,TRUE
"20 rb",20,TRUE
"50rb",50,TRUE
"50 rb",50,TRUE
"50 rb",50,TRUE
"100 rb",100,TRUE
"100 rb",100,TRUE
"150 rb",150,TRUE
"150 rb",150,TRUE
"pengisian biaya dalam seminggu : 200rb",200,TRUE
"500 rb",500,TRUE
"30 ribu",30,TRUE
"20 rb",20,TRUE
"150 rb",150,TRUE
"30 rb",30,TRUE
"35 rb",35,TRUE
"25 rb",25,TRUE
"30 rb",30,TRUE
"20 rb",20,TRUE
"75 rb",75,TRUE
"150 rb",150,TRUE
"60 rb",60,TRUE
"25 rb",25,TRUE
"100 rb",100,TRUE
"80 rb",80,TRUE
"150 rb",150,TRUE
"25 rb",25,TRUE
"70 rb",70,TRUE
"50 rb",50,TRUE
"50 rb",50,TRUE
"20 rb",20,TRUE
"150 rb",150,TRUE
"55 rb",55,TRUE
"50 rb",50,TRUE
"35rb",35,TRUE
"30 rb",30,TRUE
"50 rb",50,TRUE
"60 rb",60,TRUE
"100 rb",100,TRUE
"30 rb",30,TRUE
"75 rb",75,TRUE
"80 rb",80,TRUE
"30 rb",30,TRUE
"50 rb",50,TRUE
"40rb",40,TRUE
"30 rb",30,TRUE
"35 rb",35,TRUE
"90",90,TRUE
"40rb",40,TRUE
"100 rb",100,TRUE
