Kampus_PT;Nomor urut;Jenis Kelamin;Umur;Fakultas;Prodi;Tingkat Semester;Uang Saku;jumlah mobil;jumlah motor;jumlah sepeda;kendaraan utama;jenis tempat tinggal;jarak;biaya sepekan;Jumlah Perjalanan Senin;Jumlah Perjalanan Selasa;Jumlah Perjalanan Rabu;Jumlah Perjalanan Kamis;Jumlah Perjalanan Jumat;Jumlah Perjalanan Sabtu;Jumlah Perjalanan Ahad
ITERA;17;Perempuan;20;FTIK;Perencanaan Wilayah dan Kota;Semester 3-4;1 - 2 Jt;1;0;1;Sepeda motor pribadi;Kos sendiri;3,47;400;2;3;3;0;0;2;4
ITERA;211;Perempuan;20;FTIK;Perencanaan Wilayah dan Kota;Semester 5-6;2,1 - 3 Jt;0;1;1;Mobil pribadi;Rumah pribadi;4,88;280;4;4;5;4;5;0;3
ITERA;342;Perempuan;22;FTI;Teknik Pertambangan;Semester 7-8;2,1 - 3 Jt;3;2;3;Mobil pribadi;Rumah pribadi;3,09;225;2;2;0;2;0;3;0
ITERA;42;Perempuan;21;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;2,1 - 3 Jt;3;3;3;Mobil pribadi;Rumah pribadi;5,46;200;0;3;4;3;3;0;2
ITERA;56;Laki-laki;22;FTIK;Perencanaan Wilayah dan Kota;Semester 7-8;1 - 2 Jt;1;0;0;Sepeda motor pribadi;Rumah mengontrak bersama;3,7;200;4;3;3;2;2;3;2
ITERA;254;Perempuan;22;FTIK;Teknik Sipil;Semester 7-8;3,1 - 4 Jt;3;2;2;Mobil pribadi;Rumah pribadi;6,18;200;0;0;3;0;2;3;0
ITERA;267;Perempuan;21;FTIK;Teknik Sipil;Semester 5-6;> 4 Jt;3;2;3;Mobil pribadi;Rumah pribadi;4,87;200;3;4;4;4;4;0;3
ITERA;289;Laki-laki;21;FTIK;Teknik Sipil;Semester 5-6;3,1 - 4 Jt;3;3;4;Mobil pribadi;Rumah pribadi;5,08;200;4;4;4;4;5;2;2
ITERA;330;Perempuan;20;FTI;Teknologi Pangan;Semester 5-6;2,1 - 3 Jt;3;2;2;Mobil pribadi;Rumah pribadi;3,82;200;2;2;0;2;2;2;2
ITERA;259;Laki-laki;23;FTIK;Teknik Sipil;Semester 7-8;2,1 - 3 Jt;2;2;2;Mobil pribadi;Rumah pribadi;7,51;180;0;2;2;2;2;0;0
