kampus;jarak_km;jenis_tinggal;tipe_tinggal_baku
UINRIL;19,270000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;0,580000000;Kos Sendiri;Kos/Asrama
UINRIL;0,560000000;Kos Sendiri;Kos/Asrama
UINRIL;1,050000000;Kos Sendiri;Kos/Asrama
UINRIL;1,690000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;7,910000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;2,580000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;2,320000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,770000000;Kos Sendiri;Kos/Asrama
UINRIL;6,560000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,630000000;Kos Bersama-sama;Kos/Asrama
UINRIL;0,530000000;Kos Sendiri;Kos/Asrama
UINRIL;0,910000000;Rumah Mengontrak Pribadi;Rumah Keluarga/Pribadi
UINRIL;2,520000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,310000000;Kos Bersama-sama;Kos/Asrama
UINRIL;0,830000000;Kos Sendiri;Kos/Asrama
UINRIL;0,950000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;7,670000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;4,340000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;4,460000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;0,710000000;Kos Bersama-sama;Kos/Asrama
UINRIL;0,920000000;Kos Bersama-sama;Kos/Asrama
UINRIL;1,370000000;Kos Sendiri;Kos/Asrama
UINRIL;0,560000000;Kos Sendiri;Kos/Asrama
UINRIL;3,020000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;8,560000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;8,490000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;4,770000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,340000000;Kos Sendiri;Kos/Asrama
UINRIL;2,400000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;4,300000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;0,270000000;Kos Sendiri;Kos/Asrama
UINRIL;2,450000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;26,140000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,270000000;Kos Sendiri;Kos/Asrama
UINRIL;9,090000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,390000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;0,630000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;4,560000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;2,060000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;5,070000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;6,010000000;Kos Sendiri;Kos/Asrama
UINRIL;7,830000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;7,870000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,050000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;10,660000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,150000000;Kos Sendiri;Kos/Asrama
UINRIL;1,510000000;Kos Bersama-sama;Kos/Asrama
UINRIL;6,180000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;0,970000000;Kos Sendiri;Kos/Asrama
UINRIL;4,260000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,910000000;Kos Sendiri;Kos/Asrama
UINRIL;7,090000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,510000000;Kos Sendiri;Kos/Asrama
UINRIL;3,380000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;2,090000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,500000000;Kos Sendiri;Kos/Asrama
UINRIL;1,460000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,440000000;Kos Bersama-sama;Kos/Asrama
UINRIL;1,250000000;Kos Sendiri;Kos/Asrama
UINRIL;1,250000000;Kos Sendiri;Kos/Asrama
UINRIL;5,300000000;Kos Bersama-sama;Kos/Asrama
UINRIL;1,270000000;Kos Sendiri;Kos/Asrama
UINRIL;1,150000000;Kos Sendiri;Kos/Asrama
UINRIL;2,690000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;1,050000000;Kos Bersama-sama;Kos/Asrama
UINRIL;8,500000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,780000000;Kos Sendiri;Kos/Asrama
UINRIL;0,780000000;Kos Bersama-sama;Kos/Asrama
UINRIL;0,860000000;Kos Sendiri;Kos/Asrama
UINRIL;0,220000000;Asrama;Kos/Asrama
UINRIL;6,960000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;2,450000000;Kos Sendiri;Kos/Asrama
UINRIL;0,800000000;Kos Bersama-sama;Kos/Asrama
UINRIL;1,590000000;Kos Sendiri;Kos/Asrama
UINRIL;5,470000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,790000000;Kos Sendiri;Kos/Asrama
UINRIL;0,790000000;Kos Sendiri;Kos/Asrama
UINRIL;1,500000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;0,780000000;Kos Sendiri;Kos/Asrama
UINRIL;7,130000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,220000000;Asrama;Kos/Asrama
UINRIL;1,500000000;Kos Sendiri;Kos/Asrama
UINRIL;9,370000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,150000000;Kos Bersama-sama;Kos/Asrama
UINRIL;0,920000000;Kos Sendiri;Kos/Asrama
UINRIL;0,540000000;Kos Bersama-sama;Kos/Asrama
UINRIL;0,780000000;Kos Bersama-sama;Kos/Asrama
UINRIL;3,440000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,510000000;Kos Sendiri;Kos/Asrama
UINRIL;9,320000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,070000000;Kos Sendiri;Kos/Asrama
UINRIL;0,720000000;Kos Sendiri;Kos/Asrama
UINRIL;5,790000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;7,930000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;0,880000000;Kos Bersama-sama;Kos/Asrama
UINRIL;0,880000000;Kos Sendiri;Kos/Asrama
UINRIL;0,220000000;Asrama;Kos/Asrama
UINRIL;2,100000000;Rumah Bersama Saudara;Rumah Keluarga/Pribadi
UINRIL;3,850000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;0,710000000;Kos Sendiri;Kos/Asrama
UINRIL;0,570000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;4,950000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;2,340000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,840000000;Kos Sendiri;Kos/Asrama
UINRIL;3,170000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;2,310000000;Kos Sendiri;Kos/Asrama
UINRIL;11,350000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,840000000;Kos Sendiri;Kos/Asrama
UINRIL;2,310000000;Kos Sendiri;Kos/Asrama
UINRIL;6,040000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;3,500000000;Rumah Mengontrak Bersama-sama;Rumah Keluarga/Pribadi
UINRIL;1,150000000;Kos Sendiri;Kos/Asrama
UINRIL;4,290000000;Rumah Pribadi/Rumah Keluarga;Rumah Keluarga/Pribadi
UINRIL;1,360000000;Kos Sendiri;Kos/Asrama
UINRIL;1,840000000;Kos Sendiri;Kos/Asrama
