region,date,regname,regpop,fuel,compact,denfac10,mixfac10,cenfac10,strfac10
6,2006,"Seattle, WA",3507.6,3.15,116.110142961517,121.272515141122,123.988849291944,121.675014580358,131.856321666513
7,2004,"Kansas City, MO",1745.073,2.72,74.64,91.71,85.74,93.01,96.95
9,2009,"Eugene, OR",246.125,3.04,155.08,118.34,128.22,123.68,127.25
15,2007,"San Antonio, TX",1828.412,2.74,89.2,119.4,77,88.96,112.97
17,2005,"Detroit, MI",4814.667,2.9,77.26,110.81,71.28,90.86,118.23
22,2009,"Richmond, VA",1166.276,2.78,94.19,91.66,89.25,112.43,104.63
25,2009,"Charleston, SC",621.695,2.74,112.67,86.99,116.26,125.28,95.72
28,2009,"Winston-Salem, NC",373.968,2.8,63.27,70.82,89.69,89.15,61.51
36,2009,"Syracuse, NY",502.069,2.99,109.73,99.85,84.61,141.37,87.01
37,2009,"Madison, WI",488.073,2.87,154.73,118.7,88.5,186.95,111.97
